date,Atibainha-QNat,QT6,Cachoeira-QNat,PaivaCastro-Qjus,Jaguari-Qjus,PaivaCastro-Vop,QT7,PaivaCastro-QNat,Atibainha-Qjus,Atibainha-Vop,QT5,Cachoeira-Vop,Jaguari-QNat,Jaguari-Vop,Cachoeira-Qjus,ESI
2010-2-5,14.52,3.43,17.35,0.2,80.0,66.05,0.0,7.66,6.82,102.21,26.34,90.2,51.38,98.84,6.0,29.8
2008-7-24,1.86,26.51,1.0,1.0,1.5,55.9,27.51,3.45,1.0,52.37,27.3,48.25,14.63,63.83,2.0,31.3
2009-9-2,1.35,20.33,1.5,1.0,2.0,58.14,25.37,4.3,2.0,63.22,29.1,48.86,11.18,85.46,2.0,33.0
2008-5-9,4.76,13.3,4.24,1.0,0.2,53.66,20.39,3.03,0.1,48.74,27.59,56.23,30.75,65.22,0.1,30.6
2008-10-12,2.09,24.99,3.9,1.0,2.0,54.22,18.63,3.88,1.5,53.38,27.9,44.63,11.79,52.01,1.5,30.3
2004-1-7,2.06,24.14,0.03,0.22,1.0,40.98,25.34,4.65,0.49,40.75,27.99,30.72,10.26,6.53,1.0,32.9
2007-2-22,3.59,24.93,3.87,1.0,1.0,53.1,20.73,4.31,0.5,38.38,28.02,42.56,17.32,53.25,0.5,32.8
2005-9-14,1.38,29.21,2.72,1.0,3.0,52.55,27.56,6.14,0.51,58.07,30.03,49.98,14.0,43.55,3.52,31.8
2006-5-3,3.4,27.31,4.93,1.0,2.0,54.78,22.19,4.68,0.52,56.85,28.34,57.07,14.25,69.88,1.0,33.0
2010-11-8,3.06,20.1,2.66,1.0,4.5,54.22,20.44,4.12,2.5,55.7,27.6,55.0,9.19,79.83,3.0,30.3
2007-11-30,2.13,26.9,3.85,0.6,1.0,59.26,13.03,3.57,1.0,32.89,28.03,35.73,11.65,30.92,1.0,31.5
2006-5-21,2.66,27.6,3.46,1.0,2.0,46.46,24.29,4.33,0.52,57.66,32.09,55.59,16.46,67.93,0.99,33.0
2012-9-23,1.88,26.02,0.89,1.0,2.5,50.33,20.6,2.4,2.5,47.18,30.0,41.64,3.59,66.62,2.5,31.4
2006-6-5,1.41,27.71,3.05,1.0,2.0,55.34,20.73,2.93,0.52,54.6,30.94,56.01,12.98,66.67,1.98,30.9
2006-8-14,1.14,25.37,1.05,1.0,2.0,49.77,23.47,0.55,0.52,57.05,33.54,53.39,2.85,55.12,1.98,32.6
2004-3-17,4.51,20.44,7.31,0.1,0.7,56.46,12.69,5.7,0.1,58.28,20.14,56.97,24.27,4.62,0.4,30.7
2013-3-19,11.49,29.62,11.75,1.0,1.0,51.99,24.55,9.23,0.25,61.4,22.0,47.35,44.32,60.69,0.25,31.7
2012-9-12,3.33,26.02,0.12,1.0,2.5,53.1,24.3,2.01,2.5,52.58,31.5,50.17,7.08,68.4,2.5,33.0
2010-8-4,2.0,19.66,5.0,1.0,2.5,53.1,9.63,3.65,1.0,84.11,25.53,76.78,6.45,97.19,1.5,29.7
2006-1-20,1.14,26.92,3.2,1.0,1.0,39.35,26.61,2.86,0.5,38.97,32.1,43.74,23.39,46.1,0.53,33.0
2013-2-25,4.45,10.17,12.59,1.0,1.5,51.99,2.12,7.05,0.5,49.67,28.0,48.15,22.12,58.54,0.5,32.1
2010-3-5,10.7,13.39,12.19,0.2,5.0,57.58,0.0,7.69,7.0,78.75,20.04,86.07,39.36,99.33,6.0,32.5
2004-11-6,5.98,24.22,4.52,1.0,1.5,51.99,13.04,2.73,0.4,42.54,29.8,44.43,16.04,25.81,1.5,33.0
2009-1-5,3.79,15.15,16.24,1.0,1.0,59.26,1.75,2.95,0.5,53.38,20.7,43.15,51.62,52.96,0.5,26.7
2008-7-21,2.58,26.5,1.0,1.0,1.5,63.21,27.5,1.92,1.0,51.76,28.08,48.14,14.58,64.24,2.0,28.0
2006-4-30,1.04,27.77,4.84,1.0,2.0,54.22,23.08,5.71,0.52,56.23,28.29,57.5,15.12,70.2,1.0,33.0
2010-10-4,2.33,10.27,8.34,1.0,4.5,51.99,10.08,5.88,2.5,71.02,26.94,59.44,9.16,86.27,3.0,28.4
2006-5-15,1.18,27.74,4.22,1.0,2.0,44.81,23.68,4.18,0.52,57.66,23.4,56.54,15.31,68.61,1.0,31.1
2014-5-4,0.05,13.3,0.03,0.2,1.0,49.77,13.5,2.59,1.0,47.8,21.56,39.43,6.85,2.69,1.0,22.0
2013-10-26,0.39,29.5,1.8,1.0,1.5,46.46,29.2,3.07,1.0,59.7,28.89,55.32,11.76,33.52,1.5,32.9
